,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending_and_Income_cluster
0,1,Male,19,15,39,1,3
1,2,Male,21,15,81,1,0
2,3,Female,20,16,6,1,3
3,4,Female,23,16,77,1,0
4,5,Female,31,17,40,1,3
5,6,Female,22,17,76,1,0
6,7,Female,35,18,6,1,3
7,8,Female,23,18,94,1,0
8,9,Male,64,19,3,1,3
9,10,Female,30,19,72,1,0
10,11,Male,67,19,14,1,3
11,12,Female,35,19,99,1,0
12,13,Female,58,20,15,1,3
13,14,Female,24,20,77,1,0
14,15,Male,37,20,13,1,3
15,16,Male,22,20,79,1,0
16,17,Female,35,21,35,1,3
17,18,Male,20,21,66,1,0
18,19,Male,52,23,29,1,3
19,20,Female,35,23,98,1,0
20,21,Male,35,24,35,1,3
21,22,Male,25,24,73,1,0
22,23,Female,46,25,5,1,3
23,24,Male,31,25,73,1,0
24,25,Female,54,28,14,1,3
25,26,Male,29,28,82,1,0
26,27,Female,45,28,32,1,3
27,28,Male,35,28,61,1,0
28,29,Female,40,29,31,1,3
29,30,Female,23,29,87,1,0
30,31,Male,60,30,4,1,3
31,32,Female,21,30,73,1,0
32,33,Male,53,33,4,1,3
33,34,Male,18,33,92,1,0
34,35,Female,49,33,14,1,3
35,36,Female,21,33,81,1,0
36,37,Female,42,34,17,1,3
37,38,Female,30,34,73,1,0
38,39,Female,36,37,26,1,3
39,40,Female,20,37,75,1,0
40,41,Female,65,38,35,1,3
41,42,Male,24,38,92,1,0
42,43,Male,48,39,36,1,3
43,44,Female,31,39,61,1,2
44,45,Female,49,39,28,1,3
45,46,Female,24,39,65,1,0
46,47,Female,50,40,55,1,2
47,48,Female,27,40,47,1,2
48,49,Female,29,40,42,1,2
49,50,Female,31,40,42,1,2
50,51,Female,49,42,52,1,2
51,52,Male,33,42,60,1,2
52,53,Female,31,43,54,1,2
53,54,Male,59,43,60,1,2
54,55,Female,50,43,45,1,2
55,56,Male,47,43,41,1,2
56,57,Female,51,44,50,1,2
57,58,Male,69,44,46,1,2
58,59,Female,27,46,51,1,2
59,60,Male,53,46,46,1,2
60,61,Male,70,46,56,1,2
61,62,Male,19,46,55,1,2
62,63,Female,67,47,52,1,2
63,64,Female,54,47,59,1,2
64,65,Male,63,48,51,1,2
65,66,Male,18,48,59,1,2
66,67,Female,43,48,50,1,2
67,68,Female,68,48,48,1,2
68,69,Male,19,48,59,1,2
69,70,Female,32,48,47,1,2
70,71,Male,70,49,55,1,2
71,72,Female,47,49,42,1,2
72,73,Female,60,50,49,1,2
73,74,Female,60,50,56,1,2
74,75,Male,59,54,47,2,2
75,76,Male,26,54,54,2,2
76,77,Female,45,54,53,2,2
77,78,Male,40,54,48,2,2
78,79,Female,23,54,52,2,2
79,80,Female,49,54,42,2,2
80,81,Male,57,54,51,2,2
81,82,Male,38,54,55,2,2
82,83,Male,67,54,41,2,2
83,84,Female,46,54,44,2,2
84,85,Female,21,54,57,2,2
85,86,Male,48,54,46,2,2
86,87,Female,55,57,58,2,2
87,88,Female,22,57,55,2,2
88,89,Female,34,58,60,2,2
89,90,Female,50,58,46,2,2
90,91,Female,68,59,55,2,2
91,92,Male,18,59,41,2,2
92,93,Male,48,60,49,2,2
93,94,Female,40,60,40,2,2
94,95,Female,32,60,42,2,2
95,96,Male,24,60,52,2,2
96,97,Female,47,60,47,2,2
97,98,Female,27,60,50,2,2
98,99,Male,48,61,42,2,2
99,100,Male,20,61,49,2,2
100,101,Female,23,62,41,2,2
101,102,Female,49,62,48,2,2
102,103,Male,67,62,59,2,2
103,104,Male,26,62,55,2,2
104,105,Male,49,62,56,2,2
105,106,Female,21,62,42,2,2
106,107,Female,66,63,50,2,2
107,108,Male,54,63,46,2,2
108,109,Male,68,63,43,2,2
109,110,Male,66,63,48,2,2
110,111,Male,65,63,52,2,2
111,112,Female,19,63,54,2,2
112,113,Female,38,64,42,2,2
113,114,Male,19,64,46,2,2
114,115,Female,18,65,48,2,2
115,116,Female,19,65,50,2,2
116,117,Female,63,65,43,2,2
117,118,Female,49,65,59,2,2
118,119,Female,51,67,43,2,2
119,120,Female,50,67,57,2,2
120,121,Male,27,67,56,2,2
121,122,Female,38,67,40,2,2
122,123,Female,40,69,58,2,2
123,124,Male,39,69,91,2,4
124,125,Female,23,70,29,2,1
125,126,Female,31,70,77,2,4
126,127,Male,43,71,35,2,2
127,128,Male,40,71,95,2,4
128,129,Male,59,71,11,2,1
129,130,Male,38,71,75,2,4
130,131,Male,47,71,9,2,1
131,132,Male,39,71,75,2,4
132,133,Female,25,72,34,2,2
133,134,Female,31,72,71,2,4
134,135,Male,20,73,5,2,1
135,136,Female,29,73,88,2,4
136,137,Female,44,73,7,2,1
137,138,Male,32,73,73,2,4
138,139,Male,19,74,10,2,1
139,140,Female,35,74,72,2,4
140,141,Female,57,75,5,2,1
141,142,Male,32,75,93,2,4
142,143,Female,28,76,40,2,2
143,144,Female,32,76,87,2,4
144,145,Male,25,77,12,2,1
145,146,Male,28,77,97,2,4
146,147,Male,48,77,36,2,1
147,148,Female,32,77,74,2,4
148,149,Female,34,78,22,2,1
149,150,Male,34,78,90,2,4
150,151,Male,43,78,17,2,1
151,152,Male,39,78,88,2,4
152,153,Female,44,78,20,2,1
153,154,Female,38,78,76,2,4
154,155,Female,47,78,16,2,1
155,156,Female,27,78,89,2,4
156,157,Male,37,78,1,2,1
157,158,Female,30,78,78,2,4
158,159,Male,34,78,1,2,1
159,160,Female,30,78,73,2,4
160,161,Female,56,79,35,2,1
161,162,Female,29,79,83,2,4
162,163,Male,19,81,5,2,1
163,164,Female,31,81,93,2,4
164,165,Male,50,85,26,0,1
165,166,Female,36,85,75,0,4
166,167,Male,42,86,20,0,1
167,168,Female,33,86,95,0,4
168,169,Female,36,87,27,0,1
169,170,Male,32,87,63,0,4
170,171,Male,40,87,13,0,1
171,172,Male,28,87,75,0,4
172,173,Male,36,87,10,0,1
173,174,Male,36,87,92,0,4
174,175,Female,52,88,13,0,1
175,176,Female,30,88,86,0,4
176,177,Male,58,88,15,0,1
177,178,Male,27,88,69,0,4
178,179,Male,59,93,14,0,1
179,180,Male,35,93,90,0,4
180,181,Female,37,97,32,0,1
181,182,Female,32,97,86,0,4
182,183,Male,46,98,15,0,1
183,184,Female,29,98,88,0,4
184,185,Female,41,99,39,0,1
185,186,Male,30,99,97,0,4
186,187,Female,54,101,24,0,1
187,188,Male,28,101,68,0,4
188,189,Female,41,103,17,0,1
189,190,Female,36,103,85,0,4
190,191,Female,34,103,23,0,1
191,192,Female,32,103,69,0,4
192,193,Male,33,113,8,0,1
193,194,Female,38,113,91,0,4
194,195,Female,47,120,16,0,1
195,196,Female,35,120,79,0,4
196,197,Female,45,126,28,0,1
197,198,Male,32,126,74,0,4
198,199,Male,32,137,18,0,1
199,200,Male,30,137,83,0,4
